Wall time,Step,Value
1587474188.336871,4015,70.0
1587474206.822476,4016,54.0
1587474225.885912,4017,72.0
1587474236.198942,4018,32.0
1587474255.569302,4019,70.0
1587474267.815478,4020,39.0
1587474283.495032,4021,77.0
1587474296.320131,4022,55.0
1587474314.4106,4023,52.0
1587474331.172749,4024,49.0
1587474347.907408,4025,52.0
1587474365.386338,4026,59.0
1587474381.462467,4027,63.0
1587474394.041391,4028,47.0
1587474407.052534,4029,67.0
1587474421.292278,4030,43.0
1587474439.568471,4031,76.0
1587474453.351307,4032,48.0
1587474472.489566,4033,72.0
1587474491.802502,4034,68.0
1587474511.987163,4035,63.0
1587474531.532895,4036,68.0
1587474546.523089,4037,65.0
1587474563.296291,4038,65.0
1587474580.709545,4039,54.0
1587474601.06618,4040,69.0
1587474618.236892,4041,68.0
1587474636.252347,4042,85.0
1587474652.90985,4043,71.0
1587474668.637604,4044,50.0
1587474690.252606,4045,74.0
1587474711.063073,4046,79.0
1587474732.285994,4047,70.0
1587474757.604952,4048,52.0
1587474772.278104,4049,52.0
1587474786.729662,4050,46.0
1587474804.849833,4051,85.0
1587474821.812548,4052,57.0
1587474840.542087,4053,66.0
1587474858.761395,4054,64.0
1587474876.30896,4055,57.0
1587474888.267605,4056,62.0
1587474908.785965,4057,66.0
1587474924.875225,4058,55.0
1587474944.498132,4059,69.0
1587474961.624084,4060,60.0
1587474976.17315,4061,50.0
1587474993.609341,4062,60.0
1587475025.587103,4063,79.0
1587475042.904568,4064,56.0
1587475061.010751,4065,70.0
1587475076.610855,4066,68.0
1587475097.432863,4067,79.0
1587475109.140419,4068,40.0
1587475132.562715,4069,100.0
1587475149.170865,4070,76.0
1587475166.688386,4071,81.0
1587475179.532382,4072,60.0
1587475198.319181,4073,62.0
1587475215.883588,4074,62.0
1587475234.259223,4075,61.0
1587475250.550681,4076,62.0
1587475265.933145,4077,56.0
1587475283.696899,4078,61.0
1587475299.379252,4079,52.0
1587475318.10322,4080,62.0
1587475332.403716,4081,47.0
1587475387.560805,4082,70.0
1587475405.199404,4083,70.0
1587475421.492054,4084,50.0
1587475438.466034,4085,73.0
1587475453.255355,4086,65.0
1587475468.869132,4087,55.0
1587475526.672467,4088,80.0
1587475548.741518,4089,82.0
1587475562.086735,4090,54.0
1587475577.178768,4091,60.0
1587475597.044412,4092,84.0
1587475615.095831,4093,67.0
1587475631.389968,4094,52.0
1587475644.658139,4095,66.0
1587475661.915775,4096,67.0
1587475675.488305,4097,59.0
1587475693.160463,4098,70.0
1587475709.613342,4099,67.0
1587475726.933056,4100,62.0
1587475741.863978,4101,70.0
1587475752.211087,4102,63.0
1587475769.514988,4103,73.0
1587475787.572977,4104,77.0
